;Version;Date_of_report;Date_of_statistics;IC_admission_notification;IC_admission
0;1;2022-02-03 00:30:00;2020-02-27;0;0
1;1;2022-02-03 00:30:00;2020-02-28;0;0
2;1;2022-02-03 00:30:00;2020-02-29;0;1
3;1;2022-02-03 00:30:00;2020-03-01;0;1
4;1;2022-02-03 00:30:00;2020-03-02;0;0
5;1;2022-02-03 00:30:00;2020-03-03;0;2
6;1;2022-02-03 00:30:00;2020-03-04;0;3
7;1;2022-02-03 00:30:00;2020-03-05;0;1
8;1;2022-02-03 00:30:00;2020-03-06;0;4
9;1;2022-02-03 00:30:00;2020-03-07;0;3
10;1;2022-02-03 00:30:00;2020-03-08;0;5
11;1;2022-02-03 00:30:00;2020-03-09;0;7
12;1;2022-02-03 00:30:00;2020-03-10;0;10
13;1;2022-02-03 00:30:00;2020-03-11;0;9
14;1;2022-02-03 00:30:00;2020-03-12;0;23
15;1;2022-02-03 00:30:00;2020-03-13;0;13
16;1;2022-02-03 00:30:00;2020-03-14;0;21
17;1;2022-02-03 00:30:00;2020-03-15;0;28
18;1;2022-02-03 00:30:00;2020-03-16;0;33
19;1;2022-02-03 00:30:00;2020-03-17;0;35
20;1;2022-02-03 00:30:00;2020-03-18;0;56
21;1;2022-02-03 00:30:00;2020-03-19;0;66
22;1;2022-02-03 00:30:00;2020-03-20;0;83
23;1;2022-02-03 00:30:00;2020-03-21;0;80
24;1;2022-02-03 00:30:00;2020-03-22;0;73
25;1;2022-02-03 00:30:00;2020-03-23;0;98
26;1;2022-02-03 00:30:00;2020-03-24;613;111
27;1;2022-02-03 00:30:00;2020-03-25;132;120
28;1;2022-02-03 00:30:00;2020-03-26;115;110
29;1;2022-02-03 00:30:00;2020-03-27;110;115
30;1;2022-02-03 00:30:00;2020-03-28;115;103
31;1;2022-02-03 00:30:00;2020-03-29;87;92
32;1;2022-02-03 00:30:00;2020-03-30;122;127
33;1;2022-02-03 00:30:00;2020-03-31;109;113
34;1;2022-02-03 00:30:00;2020-04-01;77;76
35;1;2022-02-03 00:30:00;2020-04-02;86;96
36;1;2022-02-03 00:30:00;2020-04-03;98;77
37;1;2022-02-03 00:30:00;2020-04-04;59;64
38;1;2022-02-03 00:30:00;2020-04-05;72;75
39;1;2022-02-03 00:30:00;2020-04-06;55;61
40;1;2022-02-03 00:30:00;2020-04-07;73;60
41;1;2022-02-03 00:30:00;2020-04-08;60;59
42;1;2022-02-03 00:30:00;2020-04-09;88;52
43;1;2022-02-03 00:30:00;2020-04-10;56;50
44;1;2022-02-03 00:30:00;2020-04-11;23;28
45;1;2022-02-03 00:30:00;2020-04-12;35;33
46;1;2022-02-03 00:30:00;2020-04-13;37;45
47;1;2022-02-03 00:30:00;2020-04-14;44;36
48;1;2022-02-03 00:30:00;2020-04-15;45;24
49;1;2022-02-03 00:30:00;2020-04-16;34;30
50;1;2022-02-03 00:30:00;2020-04-17;25;26
51;1;2022-02-03 00:30:00;2020-04-18;18;19
52;1;2022-02-03 00:30:00;2020-04-19;20;20
53;1;2022-02-03 00:30:00;2020-04-20;24;26
54;1;2022-02-03 00:30:00;2020-04-21;35;23
55;1;2022-02-03 00:30:00;2020-04-22;16;15
56;1;2022-02-03 00:30:00;2020-04-23;17;17
57;1;2022-02-03 00:30:00;2020-04-24;14;17
58;1;2022-02-03 00:30:00;2020-04-25;10;14
59;1;2022-02-03 00:30:00;2020-04-26;12;13
60;1;2022-02-03 00:30:00;2020-04-27;12;14
61;1;2022-02-03 00:30:00;2020-04-28;20;14
62;1;2022-02-03 00:30:00;2020-04-29;16;12
63;1;2022-02-03 00:30:00;2020-04-30;11;17
64;1;2022-02-03 00:30:00;2020-05-01;11;9
65;1;2022-02-03 00:30:00;2020-05-02;6;9
66;1;2022-02-03 00:30:00;2020-05-03;7;11
67;1;2022-02-03 00:30:00;2020-05-04;16;11
68;1;2022-02-03 00:30:00;2020-05-05;7;3
69;1;2022-02-03 00:30:00;2020-05-06;7;7
70;1;2022-02-03 00:30:00;2020-05-07;8;9
71;1;2022-02-03 00:30:00;2020-05-08;5;7
72;1;2022-02-03 00:30:00;2020-05-09;5;5
73;1;2022-02-03 00:30:00;2020-05-10;2;4
74;1;2022-02-03 00:30:00;2020-05-11;10;7
75;1;2022-02-03 00:30:00;2020-05-12;5;2
76;1;2022-02-03 00:30:00;2020-05-13;5;3
77;1;2022-02-03 00:30:00;2020-05-14;4;8
78;1;2022-02-03 00:30:00;2020-05-15;3;3
79;1;2022-02-03 00:30:00;2020-05-16;4;7
80;1;2022-02-03 00:30:00;2020-05-17;6;4
81;1;2022-02-03 00:30:00;2020-05-18;2;4
82;1;2022-02-03 00:30:00;2020-05-19;12;1
83;1;2022-02-03 00:30:00;2020-05-20;3;2
84;1;2022-02-03 00:30:00;2020-05-21;1;2
85;1;2022-02-03 00:30:00;2020-05-22;3;4
86;1;2022-02-03 00:30:00;2020-05-23;5;4
87;1;2022-02-03 00:30:00;2020-05-24;3;7
88;1;2022-02-03 00:30:00;2020-05-25;6;1
89;1;2022-02-03 00:30:00;2020-05-26;2;4
90;1;2022-02-03 00:30:00;2020-05-27;7;3
91;1;2022-02-03 00:30:00;2020-05-28;1;1
92;1;2022-02-03 00:30:00;2020-05-29;4;1
93;1;2022-02-03 00:30:00;2020-05-30;0;3
94;1;2022-02-03 00:30:00;2020-05-31;1;3
95;1;2022-02-03 00:30:00;2020-06-01;4;5
96;1;2022-02-03 00:30:00;2020-06-02;4;1
97;1;2022-02-03 00:30:00;2020-06-03;1;5
98;1;2022-02-03 00:30:00;2020-06-04;1;5
99;1;2022-02-03 00:30:00;2020-06-05;9;3
100;1;2022-02-03 00:30:00;2020-06-06;0;2
101;1;2022-02-03 00:30:00;2020-06-07;2;3
102;1;2022-02-03 00:30:00;2020-06-08;2;0
103;1;2022-02-03 00:30:00;2020-06-09;5;2
104;1;2022-02-03 00:30:00;2020-06-10;2;2
105;1;2022-02-03 00:30:00;2020-06-11;1;1
106;1;2022-02-03 00:30:00;2020-06-12;4;3
107;1;2022-02-03 00:30:00;2020-06-13;1;2
108;1;2022-02-03 00:30:00;2020-06-14;0;0
109;1;2022-02-03 00:30:00;2020-06-15;2;1
110;1;2022-02-03 00:30:00;2020-06-16;0;2
111;1;2022-02-03 00:30:00;2020-06-17;2;0
112;1;2022-02-03 00:30:00;2020-06-18;0;1
113;1;2022-02-03 00:30:00;2020-06-19;0;0
114;1;2022-02-03 00:30:00;2020-06-20;2;2
115;1;2022-02-03 00:30:00;2020-06-21;1;0
116;1;2022-02-03 00:30:00;2020-06-22;2;3
117;1;2022-02-03 00:30:00;2020-06-23;0;1
118;1;2022-02-03 00:30:00;2020-06-24;2;1
119;1;2022-02-03 00:30:00;2020-06-25;0;0
120;1;2022-02-03 00:30:00;2020-06-26;2;0
121;1;2022-02-03 00:30:00;2020-06-27;0;0
122;1;2022-02-03 00:30:00;2020-06-28;0;0
