word,nos
opstelling,3
c&a,1
studiezaal,2
daarboven,1
kredietaanvraag,1
rechtbank,6
arends,3
stroomversnelling,1
meestal,1
belemmering,1
tent,8
buitenspel,2
grens,2
taai,1
bijhouden,2
doelstelling,1
stikstofruimte,2
diep,1
telefoongegeven,2
daarbij,4
gorinchem,1
bolsonaro,8
persbureau,2
coronapatiënt,9
aanbieden,2
stressen,1
groot,21
ergens,1
voormalig,2
zitten,19
kloppen,1
begrip,1
zichtbaar,2
bijpraten,1
spontaan,2
ramp,2
fashion,1
kozijn,1
explosie,2
bang,3
kant,5
benauwd,2
opmars,1
mh17,5
daarnaast,4
david,1
bekijk,1
2020,1
kruid,1
balkon,1
graadmeter,1
week,24
ic-patiënt,1
26-jarige,1
ziekenhuisopname,14
park,6
handhaven,1
epidemiologie,1
arend,1
twintig,1
fixeren,1
ingrijpen,2
kwijtraken,1
modemagazine,1
bedden,1
oplossing,5
omroep,2
februari,4
luister,1
stoel,3
eesveen,2
bedrijfsleven,1
per,13
bedenk,1
zien,27
horeca,1
lading,2
voorlichting,2
streng,5
sigaret,2
werknemer,1
dwingen,2
voorzorg,1
mogelijkheid,3
houden,21
gaswinning,2
waarschuwingsschot,1
schade,3
zwaar,13
wijzigen,1
boekel,1
hoorzitting,1
14,1
wassen,5
prins,3
gewond,2
bedrijf,13
hongerwinter,1
toekeren,1
arm,1
uur,4
afgrendeling,2
tussentijds,2
commissie,5
medeverdachte,2
vaart,1
vergisten,1
15.000,1
bieden,5
land,36
iemands,1
mee,6
waarnemer,1
stikstof,2
dood,7
vakantiepark,1
washington,1
zorgpersoneel,1
beweging,1
portemonnee,1
who,1
beroepsbevolking,1
heijn,1
september,2
11.000,1
klikken,1
overlijden,15
fms,1
daaraan,1
elkaar,12
generatie,1
2000,1
luisteren,1
strijd,2
sturen,3
pensioen,1
taliban-regime,1
laag,1
vijf,4
meekrijgen,1
parlement,7
kampen,1
eer,1
openbaar,8
bereiden,1
bezwijken,1
traag,3
rivm,16
75,1
voordeur,1
relatie,1
daarbuit,1
b.,11
specialiseren,1
wereldwijd,1
concurreren,2
bepalen,3
vertegenwoordigen,1
"0,2",1
theater,1
immers,1
zwak,2
protocol,1
overzicht,2
schieten,1
soforthilfe,2
deelnemer,1
peuk,1
begin,5
huitema,1
ruiken,4
zuiderkerk,1
idee,6
internationaal,3
beschikbaar,5
beïnvloeding,1
ding,1
weigeren,1
lief,2
voegen,2
miljoen,5
klagen,1
politieagent,2
nederlander,1
jaar,35
tatler,1
voorarrest,4
geduld,1
interessant,1
basketbalring,1
medicus,1
machete-aanval,1
daarvan,2
vanochtend,5
fysiotherapie,1
woede,1
mei,4
extra,2
financierder,1
lip,1
garantie,1
grün,1
speelplaats,2
stellen,12
selecteren,2
tassen,1
stabilisatiemechanisme,1
ervaren,1
staat,7
urk,3
zinloos,1
stad,9
sprake,1
kwetsbaarheid,1
publiekelijk,1
marengo-proce,1
kievit,1
aanloop,1
agressief,1
2014,1
adviser,1
wachten,5
overheid,9
wisselend,1
hakken,1
meidag,1
overleving,1
thuiswerk,1
gaswinningslocatie,1
brief,11
uiteindelijk,2
toestaan,1
lastig,2
genoeg,7
afsluiten,1
hetzelfde,1
bekijken,1
immuun,1
beseffen,1
voorzien,1
docent,4
proformazitting,1
vinden,20
xl,4
freedom,1
gelden,3
data,1
ruzie,2
frankrijk,1
royal,1
fulltime,1
bekend,6
aanpassen,1
proef,2
concluderen,3
braziliaans,1
vs,3
traceren,1
aftrekken,1
reuters,2
á,1
miljard,5
verkopen,3
circus,1
lachen,1
huisartsen,1
israëlisch,2
federatie,1
doorgeven,5
verpleegkundig,1
component,1
2016,1
tegelijkertijd,1
woordkeus,1
universiteit,3
carnaval,1
schuld,1
direct,2
virus,16
nuttig,1
maken,37
bijeenkomst,1
stedentrip,1
lat,1
capitulatie,2
foto,1
cambodja,1
slecht,2
sluiting,1
boorput,1
corona-brandhaard,1
afremmen,1
toegang,2
villari,3
journalist,1
ontslaan,1
toenemen,5
noodzakelijk,5
kabinet,18
vi,12
schiphol,2
autoriteit,1
uniek,2
doorheen,1
voorrang,1
amsterdammer,1
tekstbericht,1
openen,1
deskundig,1
hoofd,3
indicatie,2
aanleg,2
vanmorgen,2
gezinslid,1
overledene,1
noord-holland,2
waarmee,2
opsluiten,1
schuldig,1
staan,24
hulpgoederen,1
provinciebestuur,1
eigenaar,2
regeling,1
ligtijd,1
procent,4
winkelvastgoedonderneming,1
model,3
echtpaar,1
risico,5
bourj,1
eventueel,1
lezen,1
vijfti,1
stikstofmaatregeel,1
instrumenteel,1
gelijkwaardigheid,1
meerdere,2
luchtlanding,1
richtlijn,1
opiniepeiling,1
patiëntenspreiding,1
doel,2
app,9
werpen,1
groei,2
kroonprins,1
wetenschapper,2
merken,1
juli,1
2001,1
team,3
lukken,4
19,3
107,1
toepassen,1
vn,1
licht,1
deelname,1
rinda,2
economisch,1
verdienen,1
2023,1
demonstratief,1
publiceren,1
moe,1
qua,1
populatie,1
vuurwapen,1
offer,1
zoiets,1
denkbaar,1
westerbeke,3
bezighouden,1
noord-amerika,1
ministerie,7
rijk,2
bekritiseren,1
wagoh,2
mengen,1
product,1
twitter,2
opdrachtgever,1
provincie,11
schrappen,2
