words,2020-09-01,2020-09-18,2020-09-28,2020-10-13,2020-10-27,2020-11-03,2020-11-17,2020-12-08,2021-01-12,2021-01-20,2021-02-03,2021-02-23,2021-03-08,2021-03-23,2021-04-14,2021-04-20,2021-05-11,2021-05-28,2021-06-18,2021-07-09,2021-07-13,2021-08-13,2021-09-14,2021-11-03,2021-11-12,2021-11-27,2021-12-14,2021-12-18,2022-01-14
fase,0.000965520406319022,0.0009986385205199384,0.00033434982268291225,0.0005545553102960537,0.00032797573594199017,0.0003963183238503212,0.0003621856452412026,0.00031099753432790194,0.0,0.00014658559228391041,0.0002984889584203917,0.0016833980694309415,0.0009004377460992624,0.0,0.0032074915192970904,0.0003020622500215935,0.00013507637376054842,0.0006831841142185139,0.0001679165924033082,0.0003296898948406417,0.0,0.0,0.0007346350917644734,0.00013556017166083692,0.0006710709207040012,0.0002889190834176005,0.0,0.00015067038187780918,0.00020887637929197387
richten,0.0004698186677349628,0.0009718676398527991,0.0007321202560816912,0.000809533704404859,0.0004787753494422151,0.0,0.0005287145964175276,0.0022699537931648163,0.0008700893752067973,0.0004279680505471079,0.0006535963169435918,0.0006143514676682538,0.0,0.000206313201365316,0.0,0.0006614206942414002,0.0,0.0,0.0,0.0021657494683392188,0.0008825986473743071,0.0007321202560816912,0.0010724121763515456,0.00039577847654463915,0.0011755462835240772,0.0002108804401741665,0.00019634212979968596,0.00021994695591413864,0.0
enorm,0.00011935823065057888,0.00018517846866105642,9.299819737969133e-05,0.0002570792660166314,0.00012163369085362285,0.00029395869998969797,0.0001007406310371393,2.8834280863821026e-05,0.00027630960481315114,8.15445076946635e-05,0.00016604725462746148,7.803851700060087e-05,0.00013914083985436238,0.00018344976749730497,9.516290118310562e-05,2.800584182862745e-05,0.00010018934992511118,0.0001266834650226361,6.227385946986724e-05,0.00024453881401582017,0.0,0.0002479951930125102,0.0002452033216626023,0.0001508222914524507,9.954984343622751e-05,0.00013393633515751982,0.00027434578388342015,0.0001676336933659404,0.0001936607053602108
virologisch,0.0019291526711890852,0.0,0.002004137403991488,0.0,0.0,0.0,0.0,0.0,0.0017863649931640663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alsook,0.0033690501171200395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015709765811788925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001419055493457438,0.0014049655807564423,0.0,0.0,0.0,0.0
inschatting,0.0005057033229138544,0.0005230493471826674,0.0,0.0013070485884542698,0.00206137645666098,0.0006227299557556993,0.0,0.0,0.0,0.0,0.0,0.0,0.00047161547006081903,0.0008882854484640669,0.001612765037957133,0.0,0.0,0.0005367392669193979,0.0,0.0010360751006039943,0.0,0.0005253596358186332,0.001385187362764036,0.0,0.0008435561812009827,0.0,0.0004226774042265052,0.0004734929201804879,0.0006564096111994402
les,0.003053821340277258,0.0,0.0,0.0004047668522024295,0.0,0.0,0.0007930718946262912,0.00045399075863296323,0.0008700893752067973,0.0004279680505471079,0.0004357308779623945,0.0,0.00021907484268688195,0.000618939604095948,0.0001872904248326496,0.0,0.000197182995451933,0.0007479784565744353,0.0004902455663321351,0.00192511063852375,0.007060789178994457,0.0007321202560816912,0.0008579297410812364,0.00039577847654463915,0.0,0.0002108804401741665,0.0003926842595993719,0.0004398939118282773,0.0015245771337094821
geven,0.00014919778831322362,0.0001234523124407043,0.0001239975965062551,5.141585320332629e-05,0.0,0.00018372418749356122,0.0001007406310371393,2.8834280863821026e-05,0.00011052384192526045,5.436300512977567e-05,8.302362731373074e-05,2.601283900020029e-05,5.565633594174495e-05,2.620710964247214e-05,0.00019032580236621124,5.60116836572549e-05,7.514201244383339e-05,9.501259876697706e-05,6.227385946986724e-05,6.113470350395504e-05,0.0001121128428475086,9.299819737969133e-05,0.0001362240675903346,0.00012568524287704224,0.00019909968687245502,2.6787267031503964e-05,7.482157742275094e-05,0.00011175579557729361,0.00011619642321612646
staan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saamhorigheid,0.0038583053423781703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017991146243603205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016124261132326682,0.0,0.0
eventjes,0.0019899170963439705,0.0010290864139404173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009063293978700656,0.0,0.0017347238734622009,0.0,0.0017476792421960488,0.0007932686458645795,0.0,0.0,0.0010560209861464392,0.0010382176154838108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009315853922374639,0.0
voortschrijden,0.011958217126206623,0.0,0.0015528780190391994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002509433144257493,0.0,0.0,0.0030624702396382817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019402405270997501
